match_id,map_number,mode,map_name,away_team,home_team,away_score,home_score,map_winner,game_time_sec,data_source,is_lan
2026_M1Q1S1_RYD_TX,1,HP,Scar,RYD,TX,154,250,TX,562.0,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,RYD,TX,4,6,TX,753.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,RYD,TX,1,4,TX,603.0,YT,0
2026_M1Q1S2_CAR_BOS,1,HP,Colossus,CAR,BOS,153,250,BOS,571.0,YT,0
2026_M1Q1S2_CAR_BOS,2,SND,Scar,CAR,BOS,6,5,CAR,646.0,YT,0
2026_M1Q1S2_CAR_BOS,3,OVLD,Den,CAR,BOS,2,3,BOS,626.0,YT,0
2026_M1Q1S2_CAR_BOS,4,HP,Exposure,CAR,BOS,214,250,BOS,,BP,0
2026_M1Q1S3_LAT_VGS,1,HP,Den,LAT,VGS,250,225,LAT,667.0,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,LAT,VGS,6,4,LAT,514.0,YT,0
2026_M1Q1S3_LAT_VGS,3,OVLD,Exposure,LAT,VGS,5,4,LAT,644.0,YT,0
2026_M1Q1S4_TOR_MIA,1,HP,Scar,TOR,MIA,250,85,TOR,473.0,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,TOR,MIA,5,6,MIA,758.0,YT,0
2026_M1Q1S4_TOR_MIA,3,OVLD,Exposure,TOR,MIA,8,0,TOR,458.0,YT,0
2026_M1Q1S4_TOR_MIA,4,HP,Den,TOR,MIA,199,250,MIA,652.0,YT,0
2026_M1Q1S4_TOR_MIA,5,SND,Den,TOR,MIA,6,3,TOR,622.0,YT,0
2026_M1Q1S5_VAN_PAR,1,HP,Colossus,VAN,PAR,152,250,PAR,622.0,YT,0
2026_M1Q1S5_VAN_PAR,2,SND,Raid,VAN,PAR,3,6,PAR,567.0,YT,0
2026_M1Q1S5_VAN_PAR,3,OVLD,Den,VAN,PAR,1,4,PAR,600.0,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,MIN,NY,221,250,NY,698.0,YT,0
2026_M1Q1S6_MIN_NY,2,SND,Colossus,MIN,NY,6,2,MIN,535.0,YT,0
2026_M1Q1S6_MIN_NY,3,OVLD,Den,MIN,NY,4,1,MIN,600.0,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,MIN,NY,225,250,NY,716.0,YT,0
2026_M1Q1S6_MIN_NY,5,SND,Scar,MIN,NY,6,3,MIN,622.0,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,250,236,RYD,713.0,YT,0
2026_M1Q1S7_RYD_LAT,2,SND,Den,RYD,LAT,0,6,LAT,401.0,YT,0
2026_M1Q1S7_RYD_LAT,3,OVLD,Den,RYD,LAT,1,5,LAT,614.0,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,207,250,LAT,734.0,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,250,149,PAR,567.0,YT,0
2026_M1Q1S8_PAR_VGS,2,SND,Scar,PAR,VGS,3,6,VGS,635.0,YT,0
2026_M1Q1S8_PAR_VGS,3,OVLD,Exposure,PAR,VGS,1,6,VGS,621.0,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,250,130,PAR,535.0,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,197,250,MIN,640.0,YT,0
2026_M1Q1S9_TX_MIN,2,SND,Raid,TX,MIN,6,4,TX,725.0,YT,0
2026_M1Q1S9_TX_MIN,3,OVLD,Den,TX,MIN,3,0,TX,627.0,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,250,113,TX,530.0,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,250,166,RYD,602.0,YT,0
