match_id,map_number,mode,map_name,team,opponent,player_slot,player_name,map_winner,kills,deaths,assists,non_traded_kills,highest_streak,damage,bombs_planted,bombs_defused,first_bloods,first_deaths,kills_per_round,dmg_per_round,data_source,is_lan
2026_M1Q1S1_RYD_TX,2,SND,Den,RYD,TX,1,CELLIUM,TX,5,6,2.0,4.0,3.0,911,0.0,0.0,1,1.0,0.5,91.1,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,RYD,TX,2,PRED,TX,10,7,1.0,7.0,6.0,1188,0.0,2.0,1,2.0,1.0,118.8,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,RYD,TX,3,EXNID,TX,2,9,0.0,2.0,1.0,448,0.0,0.0,0,1.0,0.2,44.8,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,RYD,TX,4,KISMET,TX,6,8,2.0,3.0,3.0,951,2.0,0.0,1,3.0,0.6,95.1,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,TX,RYD,5,HUKE,TX,6,7,4.0,4.0,2.0,1015,3.0,0.0,1,1.0,0.6,101.5,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,TX,RYD,6,SHOTZZY,TX,10,6,1.0,7.0,3.0,1086,1.0,0.0,3,1.0,1.0,108.6,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,TX,RYD,7,MERCULES,TX,10,4,4.0,6.0,4.0,1544,0.0,1.0,2,0.0,1.0,154.39,YT,0
2026_M1Q1S1_RYD_TX,2,SND,Den,TX,RYD,8,DASHY,TX,4,6,0.0,3.0,1.0,845,0.0,0.0,1,1.0,0.4,84.5,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,CAR,BOS,1,SLASHER,CAR,6,6,1.0,4.0,3.0,1306,0.0,0.0,0,1.0,0.54,118.72,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,CAR,BOS,2,NERO,CAR,7,8,1.0,4.0,3.0,953,2.0,1.0,2,2.0,0.63,86.63,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,CAR,BOS,3,CRAZE,CAR,7,8,4.0,6.0,5.0,945,0.0,0.0,0,1.0,0.63,85.9,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,CAR,BOS,4,LURQXX,CAR,8,8,2.0,6.0,5.0,1165,0.0,0.0,3,3.0,0.72,105.9,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,BOS,CAR,5,PURJ,CAR,7,8,2.0,4.0,2.0,1115,0.0,0.0,2,3.0,0.63,101.36,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,BOS,CAR,6,CAMMY,CAR,6,5,3.0,5.0,4.0,820,0.0,0.0,2,1.0,0.54,74.54,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,BOS,CAR,7,SNOOPY,CAR,10,8,1.0,8.0,5.0,1366,3.0,0.0,2,0.0,0.9,124.18,YT,0
2026_M1Q1S1_CAR_BOS,2,SND,Scar,BOS,CAR,8,NASTIE,CAR,7,7,3.0,4.0,2.0,1269,0.0,0.0,0,0.0,0.63,115.36,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,LAT,VGS,1,SCRAP,LAT,9,6,1.0,5.0,4.0,1330,0.0,0.0,1,1.0,0.9,133.0,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,LAT,VGS,2,KENNY,LAT,4,4,3.0,1.0,3.0,839,0.0,0.0,0,1.0,0.4,83.9,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,LAT,VGS,3,ABEZY,LAT,8,4,3.0,8.0,5.0,1141,0.0,0.0,3,0.0,0.8,114.1,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,LAT,VGS,4,HYDRA,LAT,7,4,1.0,5.0,5.0,882,2.0,0.0,3,1.0,0.7,88.2,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,VGS,LAT,5,SIMP,LAT,5,7,1.0,3.0,4.0,1035,1.0,0.0,1,2.0,0.5,103.5,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,VGS,LAT,6,04,LAT,5,7,0.0,5.0,3.0,959,0.0,0.0,0,3.0,0.5,95.9,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,VGS,LAT,7,DRAZAH,LAT,3,9,1.0,3.0,1.0,791,0.0,0.0,1,0.0,0.3,79.1,YT,0
2026_M1Q1S3_LAT_VGS,2,SND,Scar,VGS,LAT,8,ABUZAH,LAT,5,5,1.0,3.0,4.0,981,0.0,0.0,1,2.0,0.5,98.1,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,TOR,MIA,1,TRAIX,MIA,9,6,4.0,6.0,4.0,1684,0.0,0.0,1,2.0,0.81,153.09,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,TOR,MIA,2,RENKOR,MIA,7,8,3.0,4.0,2.0,860,0.0,0.0,0,2.0,0.63,78.18,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,TOR,MIA,3,SUPER,MIA,8,7,2.0,5.0,2.0,1161,0.0,0.0,2,0.0,0.72,105.54,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,TOR,MIA,4,METTALZ,MIA,6,10,1.0,2.0,2.0,1030,2.0,0.0,0,3.0,0.54,93.63,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,MIA,TOR,5,JOEDECEIVES,MIA,9,8,2.0,7.0,4.0,1155,1.0,0.0,2,2.0,0.81,105.0,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,MIA,TOR,6,REEAL,MIA,4,8,1.0,2.0,3.0,787,0.0,0.0,1,0.0,0.36,71.54,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,MIA,TOR,7,INSIGHT,MIA,9,7,4.0,7.0,3.0,1474,0.0,0.0,0,1.0,0.81,134.0,YT,0
2026_M1Q1S4_TOR_MIA,2,SND,Scar,MIA,TOR,8,CLEANX,MIA,9,7,1.0,5.0,5.0,1543,0.0,0.0,5,1.0,0.81,140.27,YT,0
2026_M1Q1S4_TOR_MIA,5,SND,Den,TOR,MIA,1,RENKOR,TOR,3,6,2.0,2.0,2.0,828,1.0,0.0,1,0.0,0.33,92.0,YT,0
