match_id,map_number,mode,map_name,team,opponent,player_slot,player_name,map_winner,kills,deaths,assists,non_traded_kills,highest_streak,damage,overloads,obj_kills,kills_per_minute,highest_multikill,accuracy_pct,score,data_source,is_lan
2026_M1Q1S1_RYD_TX,3,OVLD,Den,RYD,TX,1,CELLIUM,TX,14,22,7.0,9.0,3.0,2458,0.0,3,1.4,2.0,30.0,2510.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,RYD,TX,2,PRED,TX,23,23,4.0,17.0,4.0,3182,0.0,3,2.3,2.0,30.0,2885.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,RYD,TX,3,EXNID,TX,18,23,5.0,14.0,3.0,2694,0.0,1,1.8,2.0,36.0,2570.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,RYD,TX,4,KISMET,TX,14,24,5.0,12.0,3.0,2119,1.0,5,1.4,2.0,25.0,2505.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,TX,RYD,5,HUKE,TX,17,21,9.0,12.0,3.0,2498,0.0,1,1.7,0.0,34.0,2780.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,TX,RYD,6,SHOTZZY,TX,32,16,5.0,29.0,7.0,3318,1.0,4,3.2,2.0,35.0,4270.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,TX,RYD,7,MERCULES,TX,25,13,14.0,22.0,4.0,3484,3.0,3,2.5,3.0,6.0,5070.0,YT,0
2026_M1Q1S1_RYD_TX,3,OVLD,Den,TX,RYD,8,DASHY,TX,18,19,10.0,12.0,2.0,2860,0.0,2,1.8,0.0,31.0,3045.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,CAR,BOS,1,SLASHER,BOS,16,20,7.0,11.0,3.0,2557,0.0,0,1.6,0.0,28.0,2425.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,CAR,BOS,2,NERO,BOS,25,27,8.0,15.0,2.0,3059,1.0,1,2.5,2.0,37.0,3845.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,CAR,BOS,3,CRAZE,BOS,19,25,7.0,12.0,3.0,2458,0.0,3,1.9,2.0,33.0,2815.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,CAR,BOS,4,LURQXX,BOS,23,25,4.0,13.0,3.0,3149,1.0,0,2.3,2.0,40.0,3250.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,BOS,CAR,5,PURJ,BOS,18,25,11.0,11.0,4.0,2446,1.0,2,1.8,2.0,29.0,3440.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,BOS,CAR,6,CAMMY,BOS,24,20,10.0,20.0,5.0,3166,0.0,3,2.4,3.0,31.0,3550.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,BOS,CAR,7,SNOOPY,BOS,28,20,7.0,22.0,4.0,3266,1.0,4,2.8,2.0,32.0,3970.0,YT,0
2026_M1Q1S1_CAR_BOS,3,OVLD,Den,BOS,CAR,8,NASTIE,BOS,26,18,7.0,19.0,4.0,2948,1.0,0,2.6,2.0,34.0,3815.0,YT,0
